#Outlier rejection of HD37742 observed with BHrreduced by B. Buysschaert on 2016-01-04 14:51:1451915483
#These data not yet detrended and only underwent outlier rejection according to the routines in "detrendSATELLITEv3"
#
#Data reduction is performed with a NON-UNIQUE outlier filter on both CCD position (X and Y) as well as on flux PER SUBSET of data.
#
#Data saved here are:
#----------------------------------------
#Column1: time measurements [d]
#Column2: flux [adu]
#Column3: CCD centroid x-position [pixel]
#Column4: CCD centroid y-position [pixel]
#Column5: CCD temperature [deg]
#Column6: exposure time of the observations [s]
#Column7: number of stacked observations corresponding to one datapoint []
#----------------------------------------
2.457056988091E+006 125485.075000 14.5900 11.9900 19.1700 1.00 1
2.457056988326E+006 124445.637000 14.5100 11.7400 19.3300 1.00 1
2.457056988561E+006 124512.822000 14.7500 11.7900 19.3800 1.00 1
2.457056988796E+006 126492.180000 14.9100 12.5100 19.7200 1.00 1
2.457056989031E+006 125469.011000 14.6100 12.4000 19.8000 1.00 1
2.457056989266E+006 126669.506000 14.8000 12.3500 19.9500 1.00 1
2.457056989501E+006 127039.880000 14.9100 12.3500 20.2400 1.00 1
2.457056989737E+006 125116.583000 14.7000 11.9000 20.3200 1.00 1
2.457056989972E+006 127505.018000 14.9600 12.1000 20.4400 1.00 1
2.457056990207E+006 127464.391000 14.9600 12.3100 20.5700 1.00 1
2.457056990442E+006 128390.732000 15.0400 12.2600 20.6800 1.00 1
2.457056990677E+006 126493.461000 15.4400 12.3700 20.8200 1.00 1
2.457056990912E+006 126476.336000 15.1900 12.6600 20.8700 1.00 1
2.457056991148E+006 127642.845000 15.1800 12.4900 21.1100 1.00 1
2.457056991383E+006 126787.277000 15.2600 12.9300 21.1000 1.00 1
2.457056991618E+006 125054.716000 15.5300 12.6900 21.1600 1.00 1
2.457056991853E+006 125806.325000 15.5300 13.1300 21.3400 1.00 1
2.457056992088E+006 125653.930000 15.6900 13.0100 21.4100 1.00 1
2.457056992323E+006 126749.448000 15.3500 13.0900 21.5400 1.00 1
2.457056992559E+006 126538.323000 15.5400 13.3200 21.6000 1.00 1
2.457056992794E+006 125888.505000 15.6600 13.0700 21.6100 1.00 1
2.457056993029E+006 126257.294000 15.8700 13.7100 21.8200 1.00 1
2.457056993264E+006 127813.779000 15.8800 13.5500 21.7700 1.00 1
2.457056993499E+006 127518.289000 15.8200 13.4800 21.9000 1.00 1
2.457056993734E+006 126486.355000 15.8600 13.6400 22.0800 1.00 1
2.457056993969E+006 128577.352000 15.9200 13.3500 22.1000 1.00 1
2.457056994205E+006 127020.809000 15.9500 13.7400 22.2300 1.00 1
2.457056994440E+006 126454.205000 16.2500 13.7100 22.1300 1.00 1
2.457056994675E+006 127203.914000 16.2900 14.0400 22.2400 1.00 1
2.457056994910E+006 126379.454000 16.3000 13.9500 22.3300 1.00 1
2.457056995145E+006 128016.419000 16.2700 14.2000 22.3300 1.00 1
2.457056995380E+006 127065.157000 16.3300 14.0800 22.4300 1.00 1
2.457056995616E+006 126597.193000 16.4300 14.0800 22.3000 1.00 1
2.457056995851E+006 126807.948000 16.6100 14.4900 22.4400 1.00 1
2.457056996086E+006 125149.545000 16.6600 14.7100 22.4400 1.00 1
2.457056996321E+006 126663.673000 16.8700 14.7300 22.1900 1.00 1
2.457056996556E+006 126479.481000 16.8200 14.6700 22.6000 1.00 1
2.457056996791E+006 125812.814000 16.7000 14.6500 22.6200 1.00 1
2.457056997027E+006 125583.353000 16.6400 14.8400 22.6500 1.00 1
2.457056997262E+006 126170.341000 16.8500 14.9600 22.6700 1.00 1
2.457056997497E+006 125518.019000 16.5200 15.0200 22.6300 1.00 1
2.457056997732E+006 126860.517000 16.6900 15.3400 22.6800 1.00 1
2.457057055448E+006 126991.448000 14.0500 10.9700 18.7900 1.00 1
2.457057055683E+006 126511.055000 14.2100 11.5900 19.0600 1.00 1
2.457057055918E+006 125348.308000 14.4200 11.4200 19.1700 1.00 1
2.457057056153E+006 126603.606000 14.0300 11.7100 19.3400 1.00 1
2.457057056388E+006 126259.968000 14.3000 11.5500 19.4500 1.00 1
2.457057056624E+006 124698.284000 14.3800 11.8000 19.7100 1.00 1
2.457057056859E+006 126874.305000 14.9700 11.5900 19.7700 1.00 1
2.457057057094E+006 125153.580000 14.3900 11.8600 19.9400 1.00 1
