#BRITE photometry, which was clipped for outliers on 2016-03-21 12:10:1458558623.
#----------------------------------------
#Column1: time measurements [d]
#Column2: flux [adu]
#Column3: CCD centroid x-position [pixel]
#Column4: CCD centroid y-position [pixel]
#Column5: CCD temperature [deg]
#Column6: exposure time of the observations [s]
#Column7: number of stacked observations corresponding to one datapoint []
#----------------------------------------
2.457056988091e+06 125485.0750000 14.5900 11.9900 19.1700 1.00 1
2.457056988326e+06 124445.6370000 14.5100 11.7400 19.3300 1.00 1
2.457056988561e+06 124512.8220000 14.7500 11.7900 19.3800 1.00 1
2.457056988796e+06 126492.1800000 14.9100 12.5100 19.7200 1.00 1
2.457056989031e+06 125469.0110000 14.6100 12.4000 19.8000 1.00 1
2.457056989266e+06 126669.5060000 14.8000 12.3500 19.9500 1.00 1
2.457056989501e+06 127039.8800000 14.9100 12.3500 20.2400 1.00 1
2.457056989737e+06 125116.5830000 14.7000 11.9000 20.3200 1.00 1
2.457056989972e+06 127505.0180000 14.9600 12.1000 20.4400 1.00 1
2.457056990207e+06 127464.3910000 14.9600 12.3100 20.5700 1.00 1
2.457056990442e+06 128390.7320000 15.0400 12.2600 20.6800 1.00 1
2.457056990677e+06 126493.4610000 15.4400 12.3700 20.8200 1.00 1
2.457056990912e+06 126476.3360000 15.1900 12.6600 20.8700 1.00 1
2.457056991148e+06 127642.8450000 15.1800 12.4900 21.1100 1.00 1
2.457056991383e+06 126787.2770000 15.2600 12.9300 21.1000 1.00 1
2.457056991618e+06 125054.7160000 15.5300 12.6900 21.1600 1.00 1
2.457056991853e+06 125806.3250000 15.5300 13.1300 21.3400 1.00 1
2.457056992088e+06 125653.9300000 15.6900 13.0100 21.4100 1.00 1
2.457056992323e+06 126749.4480000 15.3500 13.0900 21.5400 1.00 1
2.457056992559e+06 126538.3230000 15.5400 13.3200 21.6000 1.00 1
2.457056992794e+06 125888.5050000 15.6600 13.0700 21.6100 1.00 1
2.457056993029e+06 126257.2940000 15.8700 13.7100 21.8200 1.00 1
2.457056993264e+06 127813.7790000 15.8800 13.5500 21.7700 1.00 1
2.457056993499e+06 127518.2890000 15.8200 13.4800 21.9000 1.00 1
2.457056993734e+06 126486.3550000 15.8600 13.6400 22.0800 1.00 1
2.457056993969e+06 128577.3520000 15.9200 13.3500 22.1000 1.00 1
2.457056994205e+06 127020.8090000 15.9500 13.7400 22.2300 1.00 1
2.457056994440e+06 126454.2050000 16.2500 13.7100 22.1300 1.00 1
2.457056994675e+06 127203.9140000 16.2900 14.0400 22.2400 1.00 1
2.457056994910e+06 126379.4540000 16.3000 13.9500 22.3300 1.00 1
2.457056995145e+06 128016.4190000 16.2700 14.2000 22.3300 1.00 1
2.457056995380e+06 127065.1570000 16.3300 14.0800 22.4300 1.00 1
2.457056995616e+06 126597.1930000 16.4300 14.0800 22.3000 1.00 1
2.457056995851e+06 126807.9480000 16.6100 14.4900 22.4400 1.00 1
2.457056996086e+06 125149.5450000 16.6600 14.7100 22.4400 1.00 1
2.457056996321e+06 126663.6730000 16.8700 14.7300 22.1900 1.00 1
2.457056996556e+06 126479.4810000 16.8200 14.6700 22.6000 1.00 1
2.457056996791e+06 125812.8140000 16.7000 14.6500 22.6200 1.00 1
2.457056997027e+06 125583.3530000 16.6400 14.8400 22.6500 1.00 1
2.457056997262e+06 126170.3410000 16.8500 14.9600 22.6700 1.00 1
2.457056997497e+06 125518.0190000 16.5200 15.0200 22.6300 1.00 1
2.457056997732e+06 126860.5170000 16.6900 15.3400 22.6800 1.00 1
2.457056997967e+06 127191.4960000 16.0000 15.9500 22.7900 1.00 1
2.457057055448e+06 126991.4480000 14.0500 10.9700 18.7900 1.00 1
2.457057055683e+06 126511.0550000 14.2100 11.5900 19.0600 1.00 1
2.457057055918e+06 125348.3080000 14.4200 11.4200 19.1700 1.00 1
2.457057056153e+06 126603.6060000 14.0300 11.7100 19.3400 1.00 1
2.457057056388e+06 126259.9680000 14.3000 11.5500 19.4500 1.00 1
2.457057056624e+06 124698.2840000 14.3800 11.8000 19.7100 1.00 1
2.457057056859e+06 126874.3050000 14.9700 11.5900 19.7700 1.00 1
2.457057057094e+06 125153.5800000 14.3900 11.8600 19.9400 1.00 1
2.457057057329e+06 125302.2520000 14.8600 11.6200 20.1300 1.00 1
2.457057057564e+06 126399.0110000 14.7800 12.3200 20.1400 1.00 1
2.457057057799e+06 127162.6810000 14.9000 12.3200 20.4400 1.00 1
2.457057058034e+06 128355.0250000 15.0500 12.2400 20.4500 1.00 1
