#Detrending for the temperature dependent PSF, observed in BRITE photometry, done on 2016-03-21 15:16:1458569799.
#This file contains the corrected flux and the correction which has been applied in order to deduce it.
#The adopted technique is to:
#1. split the observations in smaller time bins, which have been selected according to the long term temperature variations and (possibly) too long gaps.
#2. perform 1D fits within each bin for flux vs xPOS and flux vs yPOS -- !!always both!! --.
#Now, on to the header for each columnn:
#----------------------------------------
#Column1: time measurements [d]
#Column2: original, uncorrected flux [adu]
#Column3: corrected flux [adu]
#Column4: derived correction, applied to the flux [adu]
#----------------------------------------
2.457056988091e+06 1.2548507e+05 1.2671513e+05 -1.2300575e+03
2.457056988326e+06 1.2444564e+05 1.2652485e+05 -2.0792100e+03
2.457056988561e+06 1.2451282e+05 1.2615950e+05 -1.6466827e+03
2.457056988796e+06 1.2649218e+05 1.2653971e+05 -4.7526112e+01
2.457056989031e+06 1.2546901e+05 1.2623400e+05 -7.6499189e+02
2.457056989266e+06 1.2666951e+05 1.2661892e+05 5.0589665e+01
2.457056989501e+06 1.2703988e+05 1.2640251e+05 6.3736947e+02
2.457056989737e+06 1.2511658e+05 1.2656376e+05 -1.4471737e+03
2.457056989972e+06 1.2750502e+05 1.2681370e+05 6.9131610e+02
2.457056990207e+06 1.2746439e+05 1.2651382e+05 9.5057187e+02
2.457056990442e+06 1.2839073e+05 1.2717617e+05 1.2145608e+03
2.457056990677e+06 1.2649346e+05 1.2642480e+05 6.8665880e+01
2.457056990912e+06 1.2647634e+05 1.2685902e+05 -3.8268258e+02
2.457056991148e+06 1.2764285e+05 1.2723954e+05 4.0330652e+02
2.457056991383e+06 1.2678728e+05 1.2739037e+05 -6.0309453e+02
2.457056991618e+06 1.2505472e+05 1.2652289e+05 -1.4681770e+03
2.457056991853e+06 1.2580632e+05 1.2639191e+05 -5.8558587e+02
2.457056992088e+06 1.2565393e+05 1.2654441e+05 -8.9047542e+02
2.457056992323e+06 1.2674945e+05 1.2705345e+05 -3.0400473e+02
2.457056992559e+06 1.2653832e+05 1.2664035e+05 -1.0202313e+02
2.457056992794e+06 1.2588851e+05 1.2662727e+05 -7.3876827e+02
2.457056993029e+06 1.2625729e+05 1.2617887e+05 7.8419185e+01
2.457056993264e+06 1.2781378e+05 1.2717047e+05 6.4331261e+02
2.457056993499e+06 1.2751829e+05 1.2700805e+05 5.1023806e+02
2.457056993734e+06 1.2648635e+05 1.2633280e+05 1.5355306e+02
2.457056993969e+06 1.2857735e+05 1.2695221e+05 1.6251373e+03
2.457056994205e+06 1.2702081e+05 1.2644418e+05 5.7663302e+02
2.457056994440e+06 1.2645421e+05 1.2611525e+05 3.3895159e+02
2.457056994675e+06 1.2720391e+05 1.2650471e+05 6.9920481e+02
2.457056994910e+06 1.2637945e+05 1.2604508e+05 3.3437330e+02
2.457056995145e+06 1.2801642e+05 1.2668085e+05 1.3355661e+03
2.457056995380e+06 1.2706516e+05 1.2645131e+05 6.1384861e+02
2.457056995616e+06 1.2659719e+05 1.2650302e+05 9.4176046e+01
2.457056995851e+06 1.2680795e+05 1.2717965e+05 -3.7169743e+02
2.457056996086e+06 1.2514954e+05 1.2628549e+05 -1.1359421e+03
2.457056996321e+06 1.2666367e+05 1.2660572e+05 5.7957957e+01
2.457056996556e+06 1.2647948e+05 1.2665094e+05 -1.7145501e+02
2.457056996791e+06 1.2581281e+05 1.2665861e+05 -8.4579368e+02
2.457056997027e+06 1.2558335e+05 1.2683430e+05 -1.2509518e+03
2.457056997262e+06 1.2617034e+05 1.2608489e+05 8.5452464e+01
2.457056997497e+06 1.2551802e+05 1.2632326e+05 -8.0524206e+02
2.457056997732e+06 1.2686052e+05 1.2707428e+05 -2.1376192e+02
2.457057055448e+06 1.2699145e+05 1.2678338e+05 2.0807113e+02
2.457057055683e+06 1.2651105e+05 1.2677329e+05 -2.6223854e+02
2.457057055918e+06 1.2534831e+05 1.2573396e+05 -3.8564810e+02
2.457057056153e+06 1.2660361e+05 1.2663126e+05 -2.7658480e+01
2.457057056388e+06 1.2625997e+05 1.2684457e+05 -5.8460394e+02
2.457057056624e+06 1.2469828e+05 1.2622725e+05 -1.5289668e+03
2.457057056859e+06 1.2687430e+05 1.2714318e+05 -2.6887680e+02
2.457057057094e+06 1.2515358e+05 1.2652507e+05 -1.3714871e+03
2.457057057329e+06 1.2530225e+05 1.2624896e+05 -9.4670802e+02
2.457057057564e+06 1.2639901e+05 1.2638254e+05 1.6467543e+01
2.457057057799e+06 1.2716268e+05 1.2650600e+05 6.5667640e+02
2.457057058034e+06 1.2835502e+05 1.2713276e+05 1.2222619e+03
2.457057058270e+06 1.2711022e+05 1.2716885e+05 -5.8626807e+01
2.457057058505e+06 1.2704035e+05 1.2685212e+05 1.8822407e+02
2.457057058740e+06 1.2472539e+05 1.2623971e+05 -1.5143174e+03
2.457057058975e+06 1.2538861e+05 1.2618203e+05 -7.9342571e+02
2.457057059210e+06 1.2445882e+05 1.2580236e+05 -1.3435398e+03
2.457057059445e+06 1.2506566e+05 1.2657722e+05 -1.5115582e+03
